ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
halazepam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
rolapitant,other antiemetics in atc,antiemetics and antinauseants,antiemetics and antinauseants,alimentary tract and metabolism drugs
doxazosin,"alpha-adrenoreceptor antagonists, peripherally acting","antiadrenergic agents, peripherally acting",antihypertensives,cardiovascular system drugs
imiglucerase,enzymes for alimentary tract and metabolism,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
clofenamide and potassium,"sulfonamides and potassium in combination, low-ceiling diruetics, excluding thiazides","low-ceiling diuretics, excl. thiazides",diuretics,cardiovascular system drugs
interferon,"antivirals, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
"hepatitis a, inactivated, whole virus",hepatitis vaccines,viral vaccines,vaccines,antiinfectives for systemic use
cloprednol,"glucocorticoids, systemic","corticosteroids for systemic use, plain",corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins"
drotaverine,papaverine and derivatives containing drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
fumagillin,other agents against amoebiasis and other protozoal diseases in atc,agents against amoebiasis and other protozoal diseases,antiprotozoals,"antiparasitic products, insecticides and repellents"
amphotericin b,"antibiotics, intestinal",intestinal antiinfectives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
"ethenzamide, combinations excl. psycholeptics","salicylic acid and derivatives, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
linaclotide,other drugs for constipation in atc,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
scopolamine,other antiemetics in atc,antiemetics and antinauseants,antiemetics and antinauseants,alimentary tract and metabolism drugs
amphotericin b,"antibiotics, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
ambenonium,anticholinesterase parasympathomimetics,parasympathomimetics,other nervous system drugs in atc,nervous system drugs
fluoxetine,selective serotonin reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
methyldopa (racemic),"methyldopa, centrally acting adntiadrenergic agents","antiadrenergic agents, centrally acting",antihypertensives,cardiovascular system drugs
"bismuth preparations, combinations",other agents for treatment of hemorrhoids and anal fissures for topical use in atc,agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs
"calcipotriol, combinations",other antipsoriatics for topical use in atc,antipsoriatics for topical use,antipsoriatics,dermatologicals
metformin and linagliptin,combinations of oral blood glucose lowering drugs,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
mesuximide,"succinimide derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs
cyclopenthiazide,"thiazides, plain","low-ceiling diuretics, thiazides",diuretics,cardiovascular system drugs
bisacodyl,contact laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
magnesium (different salts in combination),"magnesium supplements, alimentary tract and metabolism",other mineral supplements in atc,mineral supplements,alimentary tract and metabolism drugs
reboxetine,other antidepressants in atc,antidepressants,psychoanaleptics,nervous system drugs
technetium (99mtc) arcitumomab,"technetium 99m compounds, tumor detection radiopharmaceuticals",tumour detection radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
butriptyline,non-selective monoamine reuptake inhibitors,antidepressants,psychoanaleptics,nervous system drugs
metformin and vildagliptin,combinations of oral blood glucose lowering drugs,"blood glucose lowering drugs, excl. insulins",drugs used in diabetes,alimentary tract and metabolism drugs
clofoctol,other antibacterials in atc,other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
glucose,diagnostic agents for diabetes testing,other diagnostic agents in atc,diagnostic agents,various drug classes in atc
benzathine benzylpenicillin,beta-lactamase sensitive penicillins,"beta-lactam antibacterials, penicillins",antibacterials for systemic use,antiinfectives for systemic use
cinitapride,propulsives,propulsives,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
ritodrine,"sympathomimetics, labour repressants",other gynecologicals in atc,other gynecologicals in atc,genito urinary system and sex hormones
sevelamer,drugs for treatment of hyperkalemia and hyperphosphatemia,all other therapeutic products,all other therapeutic products,various drug classes in atc
profenamine,"tertiary amines, anticholinergic",anticholinergic agents,anti-parkinson drugs,nervous system drugs
perazine,"phenothiazines with piperazine structure, antipsychotics",antipsychotics,psycholeptics,nervous system drugs
nicotine,drugs used in nicotine dependence,drugs used in addictive disorders,other nervous system drugs in atc,nervous system drugs
fluorometholone,"corticosteroids, combinations for treatment of acne",anti-acne preparations for topical use,anti-acne preparations,dermatologicals
cediranib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
betaine hydrochloride,"acid preparations, digestives","digestives, incl. enzymes","digestives, incl. enzymes",alimentary tract and metabolism drugs
clonazepam,benzodiazepine derivative antiepileptics,antiepileptics,antiepileptics,nervous system drugs
"reserpine and diuretics, combinations with other drugs",rauwolfia alkaloids and diuretics in combination,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
technetium (99mtc) millimicrospheres,technetium 99m particles and colloid diagnostic radiopharmaceuticals for hepatic and reticulo endothelial system,hepatic and reticulo endothelial system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
"phenprobamate, combinations with psycholeptics","carbamic acid esters, centrally acting muscle relaxants","muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs
magnesium oxide,osmotically acting laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
betamethasone,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
alfuzosin,"alpha-adrenoreceptor antagonists, benign prostatic hypertrophy",drugs used in benign prostatic hypertrophy,urologicals,genito urinary system and sex hormones
cyfluthrin,pyrethrines,insecticides and repellents,"ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
"iron, multivitamins and folic acid",iron in other combinations,iron antianemic preparations,antianemic preparations,blood and blood forming organ drugs
piperidolate,"synthetic anticholinergics, esters with tertiary amino group for functional gastrointestinal disorders",drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
benzocaine,local anesthetics for treatment of hemorrhoids and anal fissures for topical use,agents for treatment of hemorrhoids and anal fissures for topical use,vasoprotectives,cardiovascular system drugs
tranylcypromine,"monoamine oxidase inhibitors, non-selective",antidepressants,psychoanaleptics,nervous system drugs
clopidogrel,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
potassium gluconate,potassium,potassium supplements,mineral supplements,alimentary tract and metabolism drugs
butizide and potassium-sparing agents,low-ceiling diuretics and potassium-sparing agents,diuretics and potassium-sparing agents in combination,diuretics,cardiovascular system drugs
crataegus glycosides,other plain cardiac preparations in atc,other cardiac preparations in atc,cardiac therapy drugs,cardiovascular system drugs
lung surfactant combinations,lung surfactants,other respiratory system products in atc,other respiratory system products in atc,respiratory system drugs
methylpropylpropanediol dinitrate,organic nitrates used in cardiac disease,vasodilators used in cardiac diseases,cardiac therapy drugs,cardiovascular system drugs
4-dimethylaminophenol,antidotes,all other therapeutic products,all other therapeutic products,various drug classes in atc
"thiamphenicol, combinations","amphenicol antibacterials, systemic",amphenicols,antibacterials for systemic use,antiinfectives for systemic use
antazoline,other antihistamines for systemic use in atc,antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
aloglutamol,antacids containing aluminium compounds,antacids,drugs for acid related disorders,alimentary tract and metabolism drugs
